No,Tanggal,Review
1,2026-05-04,"Croissant-nya enak banget, lapisan luarnya renyah, dalamnya lembut."
2,2026-05-05,"Pengiriman cepat, sampai kurang dari sehari, roti masih hangat."
3,2026-05-05,"Roti tawar gandumnya favorit keluarga, selalu stok ulang tiap minggu."
4,2026-05-06,"Packing rapi, tidak ada yang penyok, recommended!"
5,2026-05-06,"Brownies-nya juara, teksturnya fudgy banget, langsung habis dalam sehari."
6,2026-05-07,"Kemasan penyok pas sampai, roti jadi agak gepeng tapi rasanya tetap enak."
7,2026-05-07,"CS lambat balas chat, nunggu hampir 2 jam baru direspon."
8,2026-05-08,"Donat cokelatnya manis pas, anak-anak suka banget, langsung pesan lagi."
9,2026-05-08,"Sudah 3 kali order, kurir selalu telat lebih dari sejam dari estimasi."
10,2026-05-09,"Harga Roti Sobek Keju masih wajar dibanding toko sebelah, worth it."
11,2026-05-09,"Packing box-nya kokoh, roti sampai masih utuh dan segar."
12,2026-05-10,Rasa tetap konsisten enak dari pertama kali order sampai sekarang.
13,2026-05-11,"Chat komplain saya soal roti basi belum dibalas, kecewa banget."
14,2026-05-11,"Kurir ramah, pengiriman cepat, recommended banget buat yang buru-buru!"
15,2026-05-12,"Croissant agak keras waktu sampai, mungkin kelamaan di jalan."
16,2026-05-12,"Roti Sobek Keju kejunya melimpah, worth harganya."
17,2026-05-13,"Pesan pagi, sampai sore, agak lama tapi rotinya masih fresh."
18,2026-05-13,"Brownies-nya kurang matang di tengah, agak lembek banget."
19,2026-05-14,"Pelayanan ramah banget, admin-nya sabar jawabin semua pertanyaan."
20,2026-05-14,"Roti Tawar Gandum teksturnya lembut, cocok buat sarapan tiap hari."
21,2026-05-15,"Ongkir kemahalan menurut saya, hampir setengah harga rotinya."
22,2026-05-15,"Donat toppingnya kurang merata, ada yang tebal ada yang tipis."
23,2026-05-16,"Kemasannya eco-friendly, suka banget sama konsepnya."
24,2026-05-16,"Croissant favorit saya, selalu jadi andalan buat sarapan weekend."
25,2026-05-17,"Pengiriman telat lagi, sudah kedua kalinya bulan ini."
26,2026-05-17,"Rasa Brownies-nya konsisten dari order pertama sampai sekarang, mantap."
27,2026-05-18,"Respon CS cepat kalau chat pagi hari, tapi lambat kalau malam."
28,2026-05-18,"Roti Sobek Keju porsinya pas, tidak terlalu besar tidak terlalu kecil."
29,2026-05-19,"Kurir sampai lebih cepat dari estimasi, salut!"
30,2026-05-19,"Kemasan Brownies-nya agak tipis, remuk sedikit di ujung."
31,2026-05-20,"Harga Donat naik sedikit tapi porsinya sama, masih worth it."
32,2026-05-20,"Rasa Croissant-nya makin enak, mentega-nya berasa banget."
33,2026-05-21,"Pesan komplain soal roti basi, langsung diganti tanpa ribet, mantap CS-nya."
34,2026-05-21,"Roti Tawar Gandum agak kering, mungkin kelamaan di rak."
35,2026-05-22,"Pengiriman on-time terus dari bulan lalu, konsisten banget."
36,2026-05-22,"Brownies-nya selalu jadi favorit di kantor, sering diorder bareng-bareng."
37,2026-05-23,"Harga masih sepadan sama kualitasnya, langganan terus dari sini."
38,2026-05-23,"Donat cokelatnya terlalu manis buat saya pribadi, tapi anak saya suka."
39,2026-05-24,"Kemasan penyok lagi, ini ketiga kalinya dalam sebulan."
40,2026-05-24,"Roti Sobek Keju favorit keluarga, selalu order 2 loyang tiap minggu."
41,2026-05-25,"CS responsif, langsung dibantu proses refund tanpa banyak tanya."
42,2026-05-25,"Croissant-nya sedikit gosong di bagian bawah, tapi rasanya tetap oke."
43,2026-05-26,"Pengiriman cepat banget, kurang dari 3 jam sudah sampai."
44,2026-05-26,"Rasa Brownies makin ke sini makin manis, agak kemanisan buat saya."
45,2026-06-01,"Harga Roti Sobek Keju naik lumayan, tapi rasanya masih sama enaknya."
46,2026-06-01,"Packing rapi seperti biasa, roti sampai dalam kondisi sempurna."
47,2026-06-02,"Kurir telat 2 jam dari estimasi, agak mengganggu jadwal saya."
48,2026-06-02,"Donat-nya renyah di luar, lembut di dalam, favorit anak-anak di rumah."
49,2026-06-03,"Harga naik tapi porsi Brownies kok jadi lebih kecil ya, agak kecewa."
50,2026-06-03,Rasa Roti Tawar Gandum tetap konsisten walau harga naik.
51,2026-06-04,"Chat saya belum dibalas dari kemarin, mohon dicek ya."
52,2026-06-04,"Croissant tetap juara, langganan mingguan saya dari sini."
53,2026-06-05,Harga Roti Sobek Keju kemahalan sekarang dibanding toko sebelah.
54,2026-06-05,"Pengiriman rapi dan cepat, kurirnya juga ramah."
55,2026-06-06,"Brownies-nya kurang manis dibanding sebelumnya, agak mengecewakan."
56,2026-06-06,"Ukuran Roti Tawar kelihatan lebih kecil dari sebelumnya, tapi harga sama."
57,2026-06-07,"CS lambat balas lagi, chat komplain baru dijawab besoknya."
58,2026-06-07,"Donat masih enak, harga naik dikit tapi tidak masalah buat saya."
59,2026-06-08,"Harga Brownies naik tapi kualitasnya turun, agak kecewa jujur."
60,2026-06-08,"Kemasan bagus, roti sampai utuh walau perjalanan jauh."
61,2026-06-09,Roti Sobek Keju rasanya tetap juara meski harga naik dikit.
62,2026-06-09,"Pengiriman telat lagi, kurir bilang macet, agak maklum sih."
63,2026-06-10,"Harga sekarang kurang worth it dibanding sebelum naik, mikir-mikir lagi order."
64,2026-06-10,"Croissant favorit tetap nomor satu, tidak pernah gagal."
65,2026-06-11,"CS ramah dan responsif, bantu ganti pesanan yang salah kirim."
66,2026-06-11,"Rasa Donat konsisten, anak-anak masih suka sampai sekarang."
