Tanggal,Produk,Jumlah,Harga Satuan
2026-06-01,Roti Tawar Gandum,3,Rp25000
01/06/2026,Croissant,5,Rp18000
2026-06-01,Donat,10,15000
2 Juni 2026,Brownies,4,"22,000"
2026-06-02,roti tawar gandum,2,"25,000"
03/06/2026,Roti Sobek Keju,6,Rp 28.000
2026-06-03,CROISSANT,3,18000
04-06-2026,Donat,8,Rp.15.000
2026-06-04,Brownies,5,22000
05/06/2026,Roti Tawar Gandum ,4,25000
5 Juni 2026,croissant,7,Rp18.000
2026-06-05,Roti sobek keju,3,28000
2026-06-06,Brownies,6,22000
2026-06-06,Brownies,6,22000
06/06/2026,Donat ,9,Rp 15.000
2026-06-07,Roti Tawar Gandum,5,25.000
07/06/2026,Roti Sobek Keju,4,Rp28000
2026-06-08,Croissant,6,18000
8 Juni 2026,donat,12,"15,000"
2026-06-08,Brownies,3,Rp22.000
09/06/2026,Roti Tawar Gandum,7,25000
2026-06-09,roti sobek keju,5,Rp 28.000
2026-06-10,Croissant,8,18000
10/06/2026,Donat,11,15000
2026-06-10,Brownies,4,22000
11-06-2026,Roti Tawar Gandum,6,Rp25.000
2026-06-11,Roti Sobek Keju,2,
12/06/2026,Croissant,5,18000
2026-06-12,Donat,10,Rp15000
13 Juni 2026,Brownies,7,22.000
2026-06-13,Roti Tawar gandum,4,25000
14/06/2026,ROTI SOBEK KEJU,9,Rp28.000
2026-06-14,Croissant,6,18000
2026-06-14,Croissant,6,18000
15/06/2026,Donat,8,"15,000"
2026-06-15,Brownies,5,Rp 22.000
16-06-2026,Roti Tawar Gandum,3,25000
2026-06-16,Roti Sobek keju,10,28000
17/06/2026,Croissant,7,Rp18000
2026-06-17,Donat,6,15000
18 Juni 2026,Brownies,4,22000
2026-06-18,Roti Tawar Gandum,8,Rp25.000
19/06/2026,Roti Sobek Keju,3,28000
2026-06-19,Croissant,9,18.000
20/06/2026,Donat,7,Rp 15.000
2026-06-20,Brownies,5,22000
