Minggu,Hari,Tanggal,Tema Konten,Format,Caption (diisi Claude),Hashtag (diisi Claude),Waktu Post,Status
1,Senin,1,Produk Unggulan,Foto Produk,[GENERATE CLAUDE],[GENERATE CLAUDE],19:00,Draft
1,Rabu,3,Tips & Edukasi,Carousel,[GENERATE CLAUDE],[GENERATE CLAUDE],12:00,Draft
1,Jumat,5,Behind the Scene,Reels 30dtk,[GENERATE CLAUDE],[GENERATE CLAUDE],18:00,Draft
1,Minggu,7,Testimoni Pelanggan,Story + Feed,[GENERATE CLAUDE],[GENERATE CLAUDE],10:00,Draft
2,Senin,8,Promo / Diskon,Foto Produk,[GENERATE CLAUDE],[GENERATE CLAUDE],19:00,Draft
2,Rabu,10,FAQ Pelanggan,Carousel,[GENERATE CLAUDE],[GENERATE CLAUDE],12:00,Draft
2,Jumat,12,Cara Pakai Produk,Reels 60dtk,[GENERATE CLAUDE],[GENERATE CLAUDE],18:00,Draft
2,Minggu,14,Konten Brand Values,Quote / Grafis,[GENERATE CLAUDE],[GENERATE CLAUDE],10:00,Draft
3,Senin,15,Produk Terlaris,Foto Produk,[GENERATE CLAUDE],[GENERATE CLAUDE],19:00,Draft
3,Rabu,17,Komparasi / Edukasi,Carousel,[GENERATE CLAUDE],[GENERATE CLAUDE],12:00,Draft
3,Jumat,19,Behind the Scene,Reels 30dtk,[GENERATE CLAUDE],[GENERATE CLAUDE],18:00,Draft
3,Minggu,21,User Generated Content,Story Repost,[GENERATE CLAUDE],[GENERATE CLAUDE],10:00,Draft
4,Senin,22,Launching / New Arrival,Foto Produk,[GENERATE CLAUDE],[GENERATE CLAUDE],19:00,Draft
4,Rabu,24,Tips & Edukasi,Carousel,[GENERATE CLAUDE],[GENERATE CLAUDE],12:00,Draft
4,Jumat,26,Flash Sale / Promo Akhir Bulan,Reels 30dtk,[GENERATE CLAUDE],[GENERATE CLAUDE],18:00,Draft
4,Minggu,28,Recap Bulan + Teaser Bulan Depan,Story + Feed,[GENERATE CLAUDE],[GENERATE CLAUDE],10:00,Draft
